DEPTH,BIT,BVOL,CAL,CNCF,CVOL,DT,GR,PE,RD,RMSL,RS,SPBD,SPD,TTEN,ZCOR,ZDEN
80.696,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70.96,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.772,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,69.712,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.848,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,70.338,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
80.924,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,73.012,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.001,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,76.329,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.077,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,79.382,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.153,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,82.562,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.229,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,86.073,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.305,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,88.715,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.382,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90.863,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.458,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,92.729,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.534,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,92.599,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.61,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,91.607,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.686,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,91.052,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
81.763,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,90.337,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25,-999.25
